SA2 code,Name
702051067,Katherine
701031035,Weddell
701031034,Virginia
701031032,Humpty Doo
701031031,Howard Springs
701041042,Palmerston - South
701041043,Rosebery - Bellamack
701041040,Moulden
701041044,Woodroffe
701041036,Bakewell
701041041,Palmerston - North
701041039,Gray
701041037,Driver
701041038,Durack - Marlow Lagoon
701021017,East Arm
701021012,Berrimah
701021015,Charles Darwin
701011009,Woolner - Bayview - Winnellie
701011008,Stuart Park
701011002,Darwin City
701011005,Larrakeyah
701011004,Fannie Bay - The Gardens
701011007,Parap
701011006,Ludmilla - The Narrows
701011003,East Point
701021016,Coconut Grove
701011001,Darwin Airport
701021022,Malak - Marrara
701021023,Millner
701021025,Nightcliff
701021026,Rapid Creek
701021010,Alawa
701021018,Jingili
701021024,Moil
701021028,Wagaman
701021029,Wanguri
701021013,Brinkin - Nakara
701021027,Tiwi
701021021,Lyons (NT)
701021014,Buffalo Creek
701031033,Koolpinyah
306041164,Daintree
315011400,Tablelands
306041165,Port Douglas
306051168,Kuranda
306011139,Clifton Beach - Kewarra Beach
306011142,Trinity Beach - Smithfield
306011143,Yorkeys Knob - Machans Beach
306011140,Freshwater - Stratford
306011141,Redlynch
306011138,Brinsmead
306021156,Whitfield - Edge Hill
306021145,Cairns City
306021152,Manunda
306021151,Manoora
306021146,Earlville - Bayview Heights
306021157,Woree
306021154,Westcourt - Bungalow
306021153,Mount Sheridan
306021150,Lamb Range
306021155,White Rock
306021144,Bentley Park
306021147,Edmonton
306021148,Gordonvale - Trinity
306051169,Malanda - Yungaburra
306051166,Atherton
306051167,Herberton
306031160,Johnstone
306031162,Wooroonooran
306031158,Babinda
306031159,Innisfail
306031161,Tully
318011465,Ingham Region
318011464,Ingham
318011462,Charters Towers
318021489,Townsville - South
318021486,Northern Beaches
318021483,Magnetic Island
318021473,Deeragun
318021470,Bohle Plains
318021484,Mount Louisa
318021469,Belgian Gardens - Pallarenda
318021475,Garbutt - West End
318021490,Townsville City - North Ward
318021488,South Townsville - Railway Estate
318021476,Gulliver - Currajong - Vincent
318021477,Heatley
318021467,Aitkenvale
318021472,Cranbrook
318021481,Kirwan - East
318021482,Kirwan - West
318021474,Douglas
318021468,Annandale
318021487,Oonoonba
318021491,Wulguru - Roseneath
318021471,Condon - Rasmussen
318011461,Burdekin
318011460,Ayr
312011340,Collinsville
312011337,Bowen
312031361,Proserpine
312031359,Airlie - Whitsundays
312031360,Cape Conway
312021353,Seaforth - Calen
312021345,Eungella Hinterland
312021351,Pioneer Valley
312021357,Walkerston - Eton
312021354,Shoal Point - Bucasia
312021344,Eimeo - Rural View
312021355,Slade Point
312021342,Andergrove - Beaconsfield
312021347,Mackay Harbour
312021349,North Mackay
312021348,Mount Pleasant - Glenella
312021358,West Mackay
312021356,South Mackay
312021343,East Mackay
312021350,Ooralea - Bakers Creek
312011338,Broadsound - Nebo
312011341,Moranbah
308011191,Central Highlands - West
308011192,Emerald
308041528,Banana
308041529,Biloela
308051535,Gladstone Hinterland
308051532,Callemondah
308051534,Gladstone
308051539,West Gladstone
308051533,Clinton - New Auckland
308051538,Telina - Toolooa
308051531,Boyne Island - Tannum Sands
308051530,Agnes Water - Miriam Vale
306021149,Kanimbla - Mooroobool
306051170,Mareeba
306031163,Yarrabah
318021479,Hyde Park - Pimlico
318021480,Kelso
312021352,Sarina
308031219,Rockhampton Region - North
308011190,Central Highlands - East
308031221,Shoalwater Bay
308031220,Rockhampton Region - West
308031209,Glenlee - Rockyview
308031223,Yeppoon
308031218,Rockhampton Region - East
308031207,Emu Park
308031213,Norman Gardens
308031215,Parkhurst - Kawana
308031208,Frenchville - Mount Archer
308031205,Berserker
308031222,The Range - Allenstown
308031216,Rockhampton - West
308031210,Gracemere
308031206,Bouldercombe
308031217,Rockhampton City
308031212,Mount Morgan
308031214,Park Avenue
308031211,Lakes Creek
312021346,Mackay
318021478,Hermit Park - Rosslea
318021485,Mundingburra
701021011,Anula
701021030,Wulagi
701021020,Leanyer
701021019,Karama
